category,txn_type,total_amount
National Science Foundation (NSF),Withdrawals,16168.0
OPM - Civil Serv Retirement & Disability,Withdrawals,161238.0
OPM - Federal Employee Insurance Payment,Withdrawals,150333.0
OPM - Federal Employee Insurance Receipt,Deposits,6253.0
Office of Personnel Mgmt (OPM) - misc,Deposits,0.0
Office of Personnel Mgmt (OPM) - misc,Withdrawals,523.0
Public Debt Cash Issues (Table IIIB),Deposits,58420898.0
Public Debt Cash Redemp. (Table IIIB),Withdrawals,55348878.0
RRB - Benefit Payments,Withdrawals,29151.0
RRB - Natl Railroad Retirement Inv Trust,Deposits,2559.0
RRB - Unemployment Insurance,Deposits,69.0
Railroad Retirement Board (RRB) - misc,Withdrawals,63.0
SSA - Benefits Payments,Withdrawals,2619630.0
SSA - Supplemental Security Income,Deposits,6695.0
SSA - Supplemental Security Income,Withdrawals,124946.0
Securities and Exchange Commission (SEC),Deposits,7835.0
Securities and Exchange Commission (SEC),Withdrawals,2476.0
Small Business Administration (SBA),Deposits,43332.0
Small Business Administration (SBA),Withdrawals,13922.0
Social Security Admin (SSA) - misc,Deposits,1903.0
Social Security Admin (SSA) - misc,Withdrawals,8979.0
State Unemployment Insurance Deposits,Deposits,86593.0
TREAS - Bureau of Engraving and Printing,Deposits,1916.0
TREAS - Bureau of Engraving and Printing,Withdrawals,1156.0
TREAS - Claims Judgments and Relief Acts,Withdrawals,8276.0
TREAS - Comptroller of the Currency,Deposits,2194.0
TREAS - Comptroller of the Currency,Withdrawals,567.0
TREAS - Federal Financing Bank,Deposits,8274.0
TREAS - Federal Financing Bank,Withdrawals,44546.0
TREAS - GSE Proceeds,Deposits,11396.0
TREAS - IRS Refunds for Puerto Rico,Withdrawals,2034.0
TREAS - Pmt to Resolution Funding Corp,Withdrawals,1840.0
TREAS - United States Mint,Deposits,11748.0
TREAS - United States Mint,Withdrawals,11110.0
Taxes - Business Tax Refunds (EFT),Withdrawals,47219.0
Taxes - Corporate Income,Deposits,788145.0
Taxes - Estate and Gift,Deposits,46643.0
Taxes - Federal Unemployment (FUTA),Deposits,17326.0
"Taxes - IRS Collected Estate, Gift, misc",Deposits,20760.0
Taxes - Individual Tax Refunds (EFT),Withdrawals,667195.0
Taxes - Miscellaneous Excise,Deposits,186656.0
Taxes - Non Withheld Ind/SECA Electronic,Deposits,1457173.0
Taxes - Non Withheld Ind/SECA Other,Deposits,771513.0
Taxes - Railroad Retirement,Deposits,13371.0
Taxes - Withheld Individual/FICA,Deposits,6408486.0
US Army Corps of Engineers,Deposits,3450.0
US Army Corps of Engineers,Withdrawals,56930.0
USDA - Child Nutrition,Withdrawals,60172.0
USDA - Commodity Credit Corporation,Deposits,17436.0
USDA - Commodity Credit Corporation,Withdrawals,22042.0
USDA - Federal Crop Insurance Corp Fund,Deposits,4942.0
USDA - Federal Crop Insurance Corp Fund,Withdrawals,32807.0
USDA - Loan Payments,Withdrawals,14678.0
USDA - Loan Repayments,Deposits,8669.0
USDA - Other Farm Service,Withdrawals,36844.0
USDA - Rural Services,Deposits,8448.0
USDA - Rural Services,Withdrawals,11318.0
USDA - Supp Nutrition Assist Prog (SNAP),Withdrawals,186118.0
USDA - Supp Nutrition Assist Prog (WIC),Withdrawals,14376.0
Unclassified,Withdrawals,489550.0
Unclassified - Deposits,Deposits,9724.0
United States Postal Service (USPS),Deposits,177980.0
United States Postal Service (USPS),Withdrawals,75434.0
VA - Benefits,Withdrawals,411409.0
